code,entryYmd,exitYmd,reason,entry,exit,t1Fill,stop,t1,t2,pnlPct,score,grade,condMet,t1Hit
105560,20240305,20240327,time,70500,69000,,62050,79425,89850,-2.55,80,A,0,false
105560,20240423,20240502,trail,70500,72540,76900,63175,76900,85135,5.53,85,B,0,true
105560,20240614,20240709,trail,80400,83700,87309,74609,87309,94929,5.89,83,B,0,true
105560,20240821,20240906,stop,89600,82630,,82630,100805,111710,-8.18,85,A,0,false
105560,20250704,20250724,time,116900,117200,,109710,127685,138470,-0.17,82,A,0,false
105560,20251021,20251112,t2,118500,134533,125488,110413,125488,134533,9.24,81,B,0,true
105560,20260106,20260127,t2,127700,142612,134797,121772,134797,142612,8.15,83,A,0,true
105560,20260413,20260504,time,156800,157800,,144705,178692.5,199085,0.21,80,B,0,false
108490,20250623,20250624,trail,61500,76167,77265,53490,77265,91530,24.21,82,A,0,true
108490,20250710,20250716,trail,72500,85100,91235,60510,91235,109670,21.09,80,B,0,true
108490,20260116,20260202,trail,273500,331000,316346.5,232409,316346.5,366709,17.84,83,A,0,true
108490,20260226,20260304,stop,294500,240000,,248096,365471,435896,-18.86,84,B,0,false
131290,20251107,20251121,stop,53000,48150,,48945,62082.5,69965,-9.54,82,A,0,false
131290,20260120,20260129,trail,63500,77190,75550,57800,75550,86200,19.75,82,A,0,true
140430,20250609,20250617,stop,2730,2386.5,,2386.5,3245.25,3760.5,-12.96,80,A,0,false
141080,20240214,20240226,trail,50500,56400,59539.5,45127,59539.5,68187,14.3,80,A,0,true
141080,20250612,20250613,stop,118500,107780,,107780,133330,148660,-9.44,82,A,0,false
141080,20251010,20251016,stop,153000,138192,,138192,173142,194112,-10.07,85,B,0,false
145020,20231205,20231226,time,155000,146600,,139452,167427,184212,-5.83,80,A,0,false
145020,20240423,20240516,time,208000,198000,,191930,234605,260210,-5.22,82,B,0,false
145020,20240521,20240611,t1+t2,208000,261491,243000,189011,234311,261491,20.75,87,B,0,true
145020,20250704,20250724,time,377000,338000,,332369,427869,485169,-10.73,82,B,0,false
163730,20250605,20250610,trail,12350,14630,14290,11257,14264.5,16069,16.58,80,A,0,true
163730,20250721,20250801,stop,14340,12166,,12166,17226,20262,-15.52,84,A,0,false
163730,20250806,20250827,time,13360,12570,,11785,15805,18217,-6.32,81,A,0,false
187660,20260409,20260429,time,13650,12100,,10017,19402,25033,-11.74,88,A,0,false
195870,20251215,20260107,time,50400,50800,,46507,62157,71547,0.36,87,B,0,false
195870,20260116,20260202,trail,56300,62774.99999999999,66945,48370,66945,78090,14.71,82,B,0,true
195870,20260225,20260304,stop,66000,56310,,56310,79285,93070,-15.05,80,A,0,false
196170,20250704,20250716,t2,396500,496969,445144,358769,445144,496969,18.29,83,A,0,true
196170,20260528,20260605,stop,385500,333925,,333925,465362.5,544225,-13.75,85,A,0,false
207940,20260106,20260119,ma5_close,1720000,1921000,1858147,1626522,1858147,1997122,9.39,87,A,0,true
214450,20240614,20240704,time,139900,135800,,119434,161384,186554,-3.35,92,A,0,false
214450,20250909,20250915,stop,689000,617705,,617705,766455,855705,-10.73,82,B,0,false
219130,20260713,20260729,stop,72300,55660,,55660,97260,122220,-23.35,81,A,0,false
222800,20240604,20240703,time,34250,34250,,30912,37349.5,41212,-0.43,80,B,0,false
222800,20250313,20250402,time,20950,19210,,16582,26252,32054,-8.7,80,B,0,false
226950,20251013,20251103,trail,94000,112529.99999999999,112960,80335,112960,132535,19.43,80,B,0,true
226950,20251230,20260121,stop,140000,120830,,120830,168755,197510,-14.06,86,B,0,false
226950,20260417,20260511,time,179600,170400,,145640,225965,274160,-5.53,80,A,0,false
229640,20250917,20251014,time,40250,39350,,36511,43448.5,47611,-2.66,81,A,0,false
240810,20240508,20240513,stop,37900,34557,,34557,43919.5,49537,-9.21,85,B,0,false
240810,20250313,20250402,time,26400,24200,,23441,30028.5,33981,-8.73,87,B,0,false
240810,20251215,20251218,stop,60300,55864,,55864,71214,80424,-7.75,82,B,0,false
240810,20260422,20260512,trail,121200,140895,144000,106063,140938,161863,17.03,82,B,0,true
240810,20260716,20260724,stop,136600,103736,,103736,202023.5,260996,-24.38,83,A,0,false
257720,20240319,20240328,ma5_close,9490,11410,11228,8123,11228,13091,18.76,82,A,0,true
257720,20240429,20240509,trail,13610,15670.499999999998,16151,11916,16151,18692,16.4,82,B,0,true
257720,20250716,20250725,stop,56300,49365,,49365,66615,76965,-12.69,83,B,0,false
267260,20250716,20250812,time,472500,473500,,428970,542095,609970,-0.22,87,B,0,false
267260,20260105,20260120,trail,819000,880709.9999999999,919100,759100,919100,1015100,9.41,80,B,0,true
277650,20240513,20240604,time,15230,15305,,14371.75,15674.88,16456.75,0.06,80,A,0,false
277810,20251013,20251031,t1+t2,318000,421300,376500,298900,375400,421300,24.9,80,B,0,true
277810,20251223,20260126,trail,477000,534000,556650,416400,556650,640800,13.83,82,B,0,true
277810,20260220,20260303,trail,710000,840720,898300,597800,898300,1078600,21.94,80,B,0,true
298040,20230901,20230911,stop,198300,173040,,173040,241690,282880,-13.11,81,B,0,false
298040,20260223,20260304,stop,2700000,2319050,,2319050,3103925,3574850,-14.48,80,B,0,false
298380,20240425,20240521,time,25200,25400,,22710,29060,32870,0.36,80,A,0,false
298380,20250318,20250326,stop,39850,34517,,34517,49054.5,57777,-13.75,80,B,0,false
