ymd,capital
20230823,1000000
20230825,1000000
20230829,1000000
20230830,1000000
20230831,1000000
20230901,1000000
20230904,1000000
20230905,1000000
20230907,1000000
20230908,1000000
20230911,1028615
20230913,1028615
20230914,1023095
20230915,1056809
20230918,1056809
20230919,1056809
20230920,1056809
20230921,1056809
20230922,1041718
20230927,1025233
20231004,1025233
20231010,1040866
20231013,1040866
20231018,1040866
20231019,1040866
20231020,1024627
20231026,1011866
20231027,1011866
20231030,998731
20231031,998731
20231102,998731
20231103,998731
20231106,1016105
20231107,1016105
20231109,1016105
20231110,1016105
20231115,1016105
20231121,1016105
20231122,1016105
20231123,1016028
20231124,1016028
20231127,1032880
20231128,1052507
20231129,1052507
20231130,1052507
20231201,1052507
20231205,1052507
20231206,1052507
20231207,1052770
20231208,1058664
20231211,1058664
20231212,1058664
20231213,1058664
20231214,1058664
20231215,1058664
20231218,1058664
20231219,1055886
20231220,1067442
20231221,1067442
20231222,1067442
20231226,1067442
20231227,1067442
20231228,1067442
20240102,1067442
20240103,1067442
20240104,1066405
20240105,1066405
20240108,1066405
20240111,1066405
20240112,1066405
20240115,1066405
20240116,1079692
20240118,1063083
20240122,1063083
20240124,1055488
20240126,1055488
20240129,1055488
20240130,1038952
20240131,1042997
20240201,1042997
20240202,1057415
20240205,1057415
20240206,1057415
20240207,1041116
20240208,1041116
20240213,1057399
20240214,1057399
20240215,1073993
20240216,1073993
20240220,1087487
20240221,1087487
20240222,1087487
20240223,1087487
20240226,1087487
20240227,1087487
20240229,1087487
20240304,1065927
20240305,1065927
20240306,1065927
20240307,1065927
20240311,1065927
20240312,1065927
20240313,1065927
20240314,1080384
20240315,1080384
20240318,1080384
20240319,1080384
20240320,1080384
20240321,1080384
20240322,1080384
20240325,1080384
20240327,1080384
20240328,1080384
20240329,1080384
20240401,1063411
20240402,1063411
20240403,1063411
20240404,1052341
20240405,1052341
20240408,1052341
20240415,1052341
20240418,1074059
20240419,1074059
20240422,1097316
20240423,1097316
20240424,1097316
20240425,1097316
20240426,1110956
20240429,1110956
20240430,1110956
20240502,1110956
20240507,1135269
20240508,1135269
20240509,1135269
20240510,1158669
20240513,1154417
20240514,1154417
20240516,1154417
20240517,1177566
20240520,1200762
20240521,1200762
20240522,1200762
20240523,1200762
20240524,1200762
20240527,1184135
20240528,1184135
20240529,1184135
20240530,1184135
20240603,1184135
20240604,1184135
20240605,1184135
20240607,1184135
20240610,1184135
20240611,1233813
20240612,1233813
20240613,1233813
20240614,1233813
20240617,1231054
20240618,1231054
20240619,1231054
20240620,1231054
20240621,1231054
20240625,1231054
20240626,1231054
20240627,1231054
20240628,1231054
20240701,1239741
20240702,1239741
20240703,1239741
20240704,1239741
20240705,1239741
20240708,1239741
20240709,1239741
20240710,1239741
20240712,1239741
20240717,1239741
20240718,1201339
20240719,1201339
20240722,1201339
20240724,1201339
20240725,1201339
20240729,1201339
20240730,1201339
20240731,1201339
20240801,1201339
20240802,1201339
20240805,1163755
20240807,1163755
20240808,1163755
20240812,1163755
20240814,1163755
20240816,1163755
20240819,1163755
20240820,1163755
20240821,1163755
20240822,1163755
20240823,1163755
20240826,1163755
20240829,1163755
20240902,1163755
20240903,1163755
20240904,1163755
20240905,1164756
20240909,1164756
20240910,1164756
20240913,1164756
20240920,1182461
20240923,1182461
20240925,1182461
20240927,1182461
20240930,1182461
20241002,1182461
20241007,1182461
20241008,1182461
20241011,1204620
20241014,1204620
20241015,1204620
20241016,1204620
20241018,1204620
20241022,1204620
20241023,1204620
20241024,1204620
20241025,1218352
20241029,1218352
20241101,1218352
20241104,1218352
20241105,1218352
20241107,1218352
20241108,1199258
20241111,1199258
20241112,1199258
20241113,1199258
20241118,1199258
20241119,1199258
20241121,1199258
20241125,1199258
20241126,1199258
20241128,1198877
20241129,1198877
20241202,1198877
20241204,1198877
20241205,1198877
20241211,1198877
20241216,1198877
20241224,1188062
20250103,1188062
20250107,1213363
20250115,1213363
20250117,1213363
20250120,1213363
20250123,1213363
20250131,1213363
20250203,1213363
20250204,1213363
20250205,1233422
20250207,1233422
20250210,1233422
20250211,1233422
20250213,1233422
20250214,1233422
20250217,1233422
20250218,1233422
20250219,1252824
20250220,1252824
20250221,1252824
20250224,1252824
20250225,1252824
20250226,1252824
20250227,1252824
20250228,1252824
20250305,1252824
20250306,1252824
20250311,1232935
20250312,1232935
20250313,1232935
20250314,1232935
20250317,1232935
20250318,1232935
20250319,1232935
20250320,1232935
20250321,1232935
20250324,1232935
20250326,1232935
20250327,1232935
20250328,1232935
20250331,1232935
20250402,1218531
20250403,1218531
20250404,1218531
20250407,1218531
20250414,1244835
20250416,1244835
20250418,1244835
20250424,1244835
20250430,1261491
20250502,1261491
20250507,1261491
20250509,1261491
20250513,1261491
20250516,1261491
20250519,1261491
20250522,1261491
20250523,1256295
20250526,1256295
20250527,1256295
20250529,1265818
20250530,1265818
20250604,1265818
20250605,1288831
20250609,1322055
20250610,1322055
20250611,1322055
20250612,1322055
20250613,1322055
20250616,1322055
20250617,1301629
20250618,1301629
20250619,1301629
20250623,1301629
20250624,1301629
20250625,1301629
20250626,1301629
20250630,1301629
20250701,1301629
20250702,1301629
20250703,1301629
20250704,1301629
20250707,1301629
20250708,1301629
20250709,1301629
20250710,1301629
20250711,1301629
20250714,1301629
20250715,1301629
20250716,1301629
20250717,1301629
20250718,1301629
20250721,1301629
20250722,1300140
20250723,1300140
20250724,1300140
20250725,1300140
20250728,1300140
20250729,1300140
20250730,1300140
20250731,1300140
20250801,1300140
20250804,1300140
20250805,1300140
20250806,1300140
20250807,1279858
20250808,1279858
20250811,1279858
20250812,1279858
20250813,1279858
20250814,1279858
20250818,1279858
20250819,1279858
20250820,1279858
20250821,1279858
20250822,1279858
20250825,1279858
20250826,1279858
20250827,1279858
20250828,1279858
20250829,1279858
20250901,1279858
20250905,1279858
20250908,1279858
20250909,1279858
20250910,1279858
20250911,1279858
20250912,1279858
20250915,1279858
20250916,1279858
20250917,1279858
20250918,1279858
20250919,1279858
20250922,1279858
20250923,1279858
20250924,1279858
20250925,1279858
20250926,1279858
20250930,1279858
20251001,1279858
20251002,1279858
20251010,1279858
20251013,1279858
20251014,1279858
20251015,1279858
20251016,1279858
20251017,1279858
20251020,1279858
20251021,1279858
20251022,1279858
20251023,1279858
20251024,1279858
20251027,1279858
20251028,1279858
20251029,1279858
20251030,1279858
20251031,1279858
20251103,1279858
20251104,1279858
20251105,1279858
20251106,1279858
20251107,1279858
20251111,1279858
20251112,1279858
20251113,1279858
20251114,1279858
20251117,1279858
20251118,1279858
20251119,1279858
20251121,1279858
20251124,1279858
20251125,1279858
20251126,1279858
20251127,1279858
20251201,1279858
20251202,1279858
20251203,1279858
20251204,1279858
20251205,1279858
20251208,1279858
20251209,1279858
20251210,1279858
20251211,1279858
20251215,1279858
20251216,1279858
20251217,1279858
20251218,1279858
20251219,1279858
20251222,1279858
20251223,1279858
20251226,1279858
20251229,1279858
20251230,1279858
20260102,1279858
20260105,1279858
20260106,1279858
20260107,1279858
20260108,1279858
20260109,1279858
20260112,1279858
20260113,1279858
20260114,1279858
20260115,1279858
20260116,1279858
20260119,1279858
20260120,1279858
20260121,1279858
20260122,1279858
20260123,1279858
20260126,1279858
20260127,1279858
20260128,1279858
20260129,1279858
20260130,1279858
20260202,1279858
20260204,1279858
20260205,1279858
20260206,1279858
20260209,1279858
20260210,1279858
20260211,1279858
20260212,1279858
20260213,1279858
20260219,1279858
20260220,1279858
20260223,1279858
20260224,1279858
20260225,1279858
20260226,1279858
20260227,1279858
20260303,1279858
20260304,1279858
20260310,1279858
20260312,1279858
20260313,1279858
20260319,1279858
20260323,1279858
20260327,1279858
20260330,1279858
20260331,1279858
20260402,1279858
20260406,1279858
20260408,1279858
20260409,1279858
20260410,1279858
20260413,1279858
20260414,1279858
20260416,1279858
20260417,1279858
20260420,1279858
20260421,1279858
20260422,1279858
20260423,1279858
20260424,1279858
20260427,1279858
20260428,1279858
20260429,1279858
20260430,1279858
20260504,1279858
20260506,1279858
20260507,1279858
20260508,1279858
20260511,1279858
20260512,1279858
20260513,1279858
20260514,1279858
20260515,1279858
20260518,1279858
20260519,1279858
20260522,1279858
20260526,1279858
20260527,1279858
20260528,1279858
20260529,1279858
20260601,1279858
20260602,1279858
20260604,1279858
20260605,1279858
20260608,1279858
20260618,1279858
20260619,1279858
20260623,1279858
20260626,1279858
20260701,1279858
20260707,1279858
20260713,1279858
20260716,1279858
20260724,1279858
20260728,1279858
20260729,1279858
20260803,1279858
20260805,1279858
20260806,1279858
20260810,1279858
20260812,1279858
20260813,1279858
20260814,1279858
20260821,1279858
20260824,1279858
20260826,1279858
20260827,1279858
20260831,1279858
20260901,1279858
20260902,1279858
20260903,1279858
20260904,1279858
20260907,1279858
20260908,1279858
20260910,1279858
20260914,1279858
20260916,1279858
