code,entryYmd,exitYmd,reason,entry,exit,t1Fill,stop,t1,t2,pnlPct,score,grade,condMet,t1Hit
105560,20230825,20230926,ma5_close,52500,55700,56263,49638,56263,60238,6.17,76,B,0,true
105560,20231010,20231026,stop,56900,53641,,53641,60041,63881,-6.13,71,B,0,false
105560,20240305,20240327,time,70500,69000,,62050,79425,89850,-2.55,80,A,0,false
105560,20240423,20240502,trail,70500,72540,76900,63175,76900,85135,5.53,85,B,0,true
105560,20240614,20240709,trail,80400,83700,87309,74609,87309,94929,5.89,83,B,0,true
105560,20240729,20240805,stop,87900,77400,,79512,95837,105632,-12.32,73,B,0,false
105560,20240814,20240904,time,84800,83600,,78407,96157,106807,-1.84,71,B,0,false
105560,20241121,20241205,stop,96100,87255,,87255,103880,113855,-9.59,70,B,0,false
105560,20250624,20250704,ma5_close,109400,112100,117249,99299,117249,128019,4.37,77,B,0,true
105560,20250716,20250728,stop,117500,112210,,112210,130685,141770,-4.91,75,B,0,false
105560,20250807,20250818,stop,115100,107551,,107551,126876,138471,-6.96,75,B,0,false
105560,20250911,20251001,time,117000,116300,,111585,126622.5,135645,-1.03,70,B,0,false
105560,20251016,20251110,t2,112300,130600,122050,107800,122050,130600,12.01,71,B,0,true
105560,20251202,20251222,time,128800,126500,,116702,141152,155822,-2.21,70,B,0,false
105560,20260106,20260127,t2,127700,142612,134797,121772,134797,142612,8.15,83,A,0,true
105560,20260413,20260504,time,156800,157800,,144705,178692.5,199085,0.21,80,B,0,false
105560,20260526,20260528,stop,160100,148961,,148961,173186,187721,-7.36,79,B,0,false
105560,20260604,20260608,trail,156600,163401,171774,143024,171774,189024,6.56,74,B,0,true
105560,20260826,20260917,eod_open,165700,179000,,153408,186558,206448,7.56,73,B,0,false
108490,20250623,20250624,trail,61500,76167,77265,53490,77265,91530,24.21,82,A,0,true
108490,20250710,20250716,trail,72500,85100,91235,60510,91235,109670,21.09,80,B,0,true
108490,20250812,20250820,stop,88500,77890,,77890,104665,120730,-12.37,71,B,0,false
108490,20251201,20251208,trail,238500,289500,306865,184590,306865,380230,24.49,71,B,0,true
108490,20260116,20260202,trail,273500,331000,316346.5,232409,316346.5,366709,17.84,83,A,0,true
108490,20260226,20260304,stop,294500,240000,,248096,365471,435896,-18.86,84,B,0,false
112040,20240111,20240116,stop,65800,55688,,55688,77588,90728,-15.73,73,B,0,false
